Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.980001,-92.245001,0.000000,top
"C2","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",187.820001,-92.325001,0.000000,top
"C3","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",200.520001,-92.325001,0.000000,top
"C4","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",187.820001,-100.775001,0.000000,top
"C5","47u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.980001,-94.935001,0.000000,top
"C6","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",172.880001,-88.485001,0.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",160.330001,-94.935001,0.000000,top
"C8","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",218.610001,-82.035001,0.000000,top
"C9","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",187.820001,-111.735001,0.000000,top
"C10","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",200.520001,-100.775001,0.000000,top
"Q1","MMBT3904","SOT-23",156.030001,-101.685001,0.000000,top
"Q2","MMBT3904","SOT-23",186.820001,-83.055001,0.000000,top
"Q3","MMBT3904","SOT-23",156.030001,-111.975001,0.000000,top
"Q4","MMBT3904","SOT-23",171.950001,-101.685001,0.000000,top
"Q5","MMBT3904","SOT-23",202.740001,-83.055001,0.000000,top
"Q6","MMBT3904","SOT-23",171.950001,-111.975001,0.000000,top
"R1","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",155.980001,-105.215001,0.000000,top
"R2","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",211.455000,-66.040000,0.000000,top
"R3","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",173.380001,-93.505001,0.000000,top
"R4","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",160.430001,-103.175001,0.000000,top
"R5","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",187.820001,-94.835001,0.000000,top
"R6","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.170001,-92.325001,0.000000,top
"R7","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",160.430001,-100.665001,0.000000,top
"R8","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.170001,-94.835001,0.000000,top
"R9","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.520001,-94.835001,0.000000,top
"R10","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.870001,-92.325001,0.000000,top
"R11","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.870001,-94.835001,0.000000,top
"R12","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",187.820001,-103.285001,0.000000,top
"R13","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.170001,-100.775001,0.000000,top
"R14","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.170001,-103.285001,0.000000,top
"R15","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",177.230001,-90.995001,0.000000,top
"R16","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",211.455000,-68.550000,0.000000,top
"R17","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.805000,-66.040000,0.000000,top
"R18","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",211.455000,-71.060000,0.000000,top
"R19","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",169.030001,-94.935001,0.000000,top
"R20","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",177.230001,-88.485001,0.000000,top
"R21","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",172.880001,-90.995001,0.000000,top
"R22","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",164.680001,-94.935001,0.000000,top
"R23","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",222.960001,-84.545001,0.000000,top
"R24","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",222.960001,-82.035001,0.000000,top
"R25","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",218.610001,-84.545001,0.000000,top
"R26","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.170001,-109.225001,0.000000,top
"R27","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",187.820001,-109.225001,0.000000,top
"R28","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.170001,-111.735001,0.000000,top
"R29","200k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.520001,-103.285001,0.000000,top
"R30","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.870001,-100.775001,0.000000,top
"R31","33k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.870001,-103.285001,0.000000,top
"R32","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",186.770001,-86.585001,0.000000,top
"R33","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",191.220001,-82.035001,0.000000,top
"R34","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",191.220001,-84.545001,0.000000,top
"R35","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",155.980001,-115.505001,0.000000,top
"R36","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",160.430001,-110.955001,0.000000,top
"R37","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",160.430001,-113.465001,0.000000,top
"R38","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",171.900001,-105.215001,0.000000,top
"R39","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",176.350001,-100.665001,0.000000,top
"R40","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",176.350001,-103.175001,0.000000,top
"R41","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.690001,-86.585001,0.000000,top
"R42","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",207.140001,-82.035001,0.000000,top
"R43","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",207.140001,-84.545001,0.000000,top
"R44","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",171.900001,-115.505001,0.000000,top
"R45","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",176.350001,-110.955001,0.000000,top
"R46","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",176.350001,-113.465001,0.000000,top
"R47","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.805000,-68.550000,0.000000,top
"R48","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",220.155000,-66.040000,0.000000,top
"R49","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",215.805000,-71.060000,0.000000,top
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",174.930001,-84.005001,0.000000,top
"U2","MCP6004","SOIC-14_3.9x8.7mm_P1.27mm",158.030001,-85.885001,0.000000,top
"U4","LM4040DBZ-10","SOT-23",200.660000,-112.395000,0.000000,top
"U5","MCP6002-xSN","SOIC-8_3.9x4.9mm_P1.27mm",166.480001,-90.455001,0.000000,top
"U6","MCP6002-xSN","SOIC-8_3.9x4.9mm_P1.27mm",166.480001,-84.005001,0.000000,top
